LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
0,355,2,191,4,0,0,0,0,38,0.1977716,false
0,355,14,191,15,0,0,0,0,38,0.1977716,false
0,355,14,191,16,0,0,0,0,38,0.1977716,false
0,355,14,191,16,0,0,0,0,38,0.1977716,false
0,355,14,191,16,0,0,0,0,38,0.1977716,false
0,355,14,14,13,0,0,0,0,38,0.1977716,false
0,355,14,191,15,0,0,0,0,38,0.1977716,false
0,355,14,191,15,0,0,0,0,38,0.1977716,false
0,355,2,7,2,0,0,0,0,38,0.1977716,false
0,355,2,2,1,0,0,0,0,38,0.1977716,false
0,355,1,17,1,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,116,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
0,355,125,125,120,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,123,0,0,0,0,38,0.1977716,false
0,355,125,125,122,0,0,0,0,38,0.1977716,false
