Release,className,LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
1,bookkeeper/src/main/java/org/apache/bookkeeper/util/StringUtils.java,0,547,207,207,202,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,0,547,207,207,202,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,0,547,207,207,202,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,0,547,207,207,202,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,0,547,207,207,202,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,0,547,207,207,202,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,0,547,207,207,200,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,0,547,207,207,197,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,0,547,207,207,186,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,0,547,207,207,192,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,0,547,207,207,189,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,0,547,207,207,196,0,0,0,0,267.7103,7120,false
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,0,547,207,207,203,0,0,0,0,267.7103,7120,false
