Release,className,LOC,Age,CHG,MAX_CHG,AVG_CHG,Bug Fixed,NAuth,Number of Commit,LOC Added,AVG_LOC Added,MAX_LOC Added,Buggy
2,hbase-agent/src/main/java/org/apache/hadoop/hbase/security/access/XaAccessControlLists.java,0,359,6,6,5,0,0,0,0,0.1977716,38,false
2,lookup-client/src/main/java/com/xasecure/hbase/client/HBaseClient.java,0,359,2,191,5,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/dao/DaoManagerBase.java,0,355,22,22,20,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/dao/XAStormAuditEventDao.java,0,355,22,22,21,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/entity/XXKnoxAuditEvent.java,0,355,22,22,21,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/entity/XXStormAuditEvent.java,0,355,22,22,21,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/model/EnumRepositoryType.java,0,355,22,191,24,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/model/StormAuditEvent.java,0,355,22,22,20,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/provider/AuditProvider.java,0,355,22,22,21,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/provider/DbAuditProvider.java,0,355,22,22,20,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/provider/DummyAuditProvider.java,0,355,22,22,21,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/provider/Log4jAuditProvider.java,0,355,22,22,20,0,0,0,0,0.1977716,38,false
2,agents-audit/src/main/java/com/xasecure/audit/provider/MultiDestAuditProvider.java,0,355,22,22,20,0,0,0,0,0.1977716,38,false
2,agents-common/src/main/java/com/xasecure/authorization/hadoop/config/XaSecureConfiguration.java,0,355,22,125,22,0,0,0,0,0.1977716,38,false
2,agents-impl/src/main/java/com/xasecure/pdp/constants/XaSecureConstants.java,0,355,22,379,30,0,0,0,0,0.1977716,38,false
2,agents-impl/src/main/java/com/xasecure/pdp/storm/StormAuthRule.java,0,355,22,191,24,0,0,0,0,0.1977716,38,false
2,agents-impl/src/main/java/com/xasecure/pdp/storm/URLBasedAuthDB.java,0,355,22,191,23,0,0,0,0,0.1977716,38,false
2,agents-impl/src/main/java/com/xasecure/pdp/storm/XASecureAuthorizer.java,0,355,22,191,24,0,0,0,0,0.1977716,38,false
2,storm-agent/src/main/java/com/xasecure/authorization/storm/XaStormAccessVerifier.java,0,355,22,191,24,0,0,0,0,0.1977716,38,false
